delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation_.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.4,1000,exp,0,0,0,space,0.37351390000549145,None,600,[-0.006666666666666667],[-0.3433333333333333],[1],[0],[0],[3.563170199995511],1,[3.554134600010002],[3.5541455000056885],0,0,0,4,0.060818499987362884,,0.04094349998922553,0.060818499987362884,0.11140579999482725,1.0118718999874545,1.0618435999931535,1.4018168999900809,space,0.37351390000549145,None,1.4022965999902226,1.8117861666580817,2.1266411999968113,2.116296299995156,2.117238599996199,2.1266411999968113,2.1266411999968113,0.0009446000040043145,2.1266411999968113,5.6814796999969985,600,[-0.006666666666666667],[-0.3433333333333333],[1],[0],[0],[3.563170199995511],1,[3.554134600010002],[3.5541455000056885],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,1,1,0,space,0.4777748999913456,None,700,[-0.006666666666666667],[-0.3433333333333333],[1],[0],[0],[3.2002132999914465],1,[3.1857405999908224],[3.1857465999928536],0,1,1,5,5.6944343999930425,,5.681933299987577,5.6944343999930425,5.794877199994517,6.694630499987397,6.694630499987397,7.181141999986721,space,0.4777748999913456,None,7.1820497999869986,7.894564366655929,8.211249199986923,8.196238599994103,8.196569999985513,8.211249199986923,8.211249199986923,0.00033850000181701034,8.211249199986923,11.397574899994652,700,[-0.006666666666666667],[-0.3433333333333333],[1],[0],[0],[3.2002132999914465],1,[3.1857405999908224],[3.1857465999928536],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,400,unexp,2,2,0,space,2.989235099987127,None,300,[0.028333333333333332],[-0.315],[1],[0],[0],[4.0662057000008645],1,[4.053035600009025],[4.053040200000396],0,2,2,2,11.41137929999968,,11.397806399996625,11.41137929999968,11.511159499990754,12.411542099987855,12.411542099987855,15.413735299996915,space,2.989235099987127,None,15.414150699987658,16.12837536665417,16.444713199991384,16.43097959998704,16.43132789999072,16.444713199991384,16.444713199991384,0.00035600000410340726,16.444713199991384,20.498345499989227,300,[0.028333333333333332],[-0.315],[1],[0],[0],[4.0662057000008645],1,[4.053035600009025],[4.053040200000396],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,1000,exp,3,3,0,space,26.124064899995574,None,400,[0.043333333333333335],[-0.36],[1],[0],[0],[3.034642199985683],0,,,0,3,3,10,20.511055799986934,,20.498567799993907,20.511055799986934,20.61083159998816,21.51117169999634,21.51117169999634,47.64551799999026,space,26.124064899995574,None,47.645962999988114,48.05979296665852,48.3759502999892,48.36025289999088,48.3607367999939,48.3759502999892,48.3759502999892,0.0005052999913459644,48.3759502999892,51.39615749999939,400,[0.043333333333333335],[-0.36],[1],[0],[0],[3.034642199985683],0,,,01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,4,4,0,space,0.4877368000015849,None,200,[0.045],[-0.32166666666666666],[1],[0],[0],[3.2183050000021467],1,[3.2035224999999627],[3.203527200006647],0,4,4,3,51.40949309999996,,51.39635719999205,51.40949309999996,51.50964959998964,52.409680099997786,52.409680099997786,52.91237389999151,space,0.4877368000015849,None,52.91287299999385,53.02594486666591,53.34218109998619,53.32688679998682,53.327197399994475,53.34218109998619,53.34218109998619,0.0003175000019837171,53.34218109998619,56.54628489998868,200,[0.045],[-0.32166666666666666],[1],[0],[0],[3.2183050000021467],1,[3.2035224999999627],[3.203527200006647],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,5,5,0,space,0.6527474999893457,None,150,[0.045],[-0.32166666666666666],[1],[0],[0],[3.4353511999943294],1,[3.419824900003732],[3.4198292000073707],0,5,5,6,56.559567399992375,,56.54651279999234,56.559567399992375,56.659635699994396,57.55936029998702,57.55936029998702,58.228008299993235,space,0.6527474999893457,None,58.228441299987026,58.34227556665816,58.65877689998888,58.64272799999162,58.64306239999132,58.65877689998888,58.65877689998888,0.0003423000016482547,58.65877689998888,62.079377299989574,150,[0.045],[-0.32166666666666666],[1],[0],[0],[3.4353511999943294],1,[3.419824900003732],[3.4198292000073707],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,400,unexp,6,6,0,space,0.06488489999901503,None,700,[0.045],[-0.32166666666666666],[1],[0],[0],[2.384466900010011],1,[2.369300899998052],[2.3693057999917073],0,6,6,1,62.09305909999239,,62.07983359998616,62.09305909999239,62.19319409999298,63.092883299992536,63.092883299992536,63.16287049998937,space,0.06488489999901503,None,63.16335979998985,63.576390166654406,63.892007099988405,63.87624029998551,63.87664049999148,63.892007099988405,63.892007099988405,0.00039590000233147293,63.892007099988405,66.26187679999566,700,[0.045],[-0.32166666666666666],[1],[0],[0],[2.384466900010011],1,[2.369300899998052],[2.3693057999917073],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,7,7,0,space,0.0536699999938719,None,800,[0.045],[-0.32166666666666666],[1],[0],[0],[2.485705000013695],1,[2.47026289999485],[2.470267700002296],0,7,7,11,66.27602289999777,,66.2622551999957,66.27602289999777,66.37626899998577,67.27592679999361,67.27592679999361,67.3455804999976,space,0.0536699999938719,None,67.34625309999683,68.05902456665741,68.37549409999338,68.35954109999875,68.35985549999168,68.37549409999338,68.37549409999338,0.00032029999420046806,68.37549409999338,70.8462276999926,800,[0.045],[-0.32166666666666666],[1],[0],[0],[2.485705000013695],1,[2.47026289999485],[2.470267700002296],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,400,unexp,8,8,0,space,0.1524570999899879,None,700,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1031692000105977],1,[3.0866642000037245],[3.086668699994334],0,8,8,0,70.85948459999054,,70.84644439999829,70.85948459999054,70.95897929999046,71.85967819999496,71.85967819999496,72.02818909999041,space,0.1524570999899879,None,72.02861089998623,72.14281016665724,72.45852509999531,72.44143899998744,72.44179089998943,72.45852509999531,72.45852509999531,0.0003699000080814585,72.45852509999531,75.5457902999915,700,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1031692000105977],1,[3.0866642000037245],[3.086668699994334],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,9,9,0,space,0.10233809999772348,None,140,[0.041666666666666664],[-0.29],[1],[0],[0],[2.2520489000016823],1,[2.236759699997492],[2.236764300003415],0,9,9,9,75.55909939999401,,75.54602279998653,75.55909939999401,75.6590109999961,76.55910179999773,76.55910179999773,76.67854329998954,space,0.10233809999772348,None,76.67897189999348,76.79211776666149,77.10852309998882,77.092461799999,77.09295259999635,77.10852309998882,77.10852309998882,0.0005117000109748915,77.10852309998882,79.34591299999738,140,[0.041666666666666664],[-0.29],[1],[0],[0],[2.2520489000016823],1,[2.236759699997492],[2.236764300003415],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
